upc;descrip;manuf_code;country;year_f;alcohol_per;score;cat;subcat;new_brand
3410057579;MILLER LITE NR BTLS;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
6821302117;MOLSON GOLDEN N.R.'S;68213;Canada;1873;5;2.56;Lager;American Light;MOLSON
6821302112;MOLSON GOLDEN NR BTL;68213;Canada;1873;5;2.56;Lager;American Light;MOLSON
7143922033;ROLLING ROCK KING SI;71439;United States;1939;4.4;2.79;Lager;American;ROLLING ROCK
7143934512;ROLLING ROCK NR;71439;United States;1939;4.4;2.79;Lager;American;ROLLING ROCK
7143934500;ROLLING ROCK PREM BE;71439;United States;1939;4.4;2.79;Lager;American;ROLLING ROCK
7143934806;ROLLING ROCK PREM BE;71439;United States;1939;4.4;2.79;Lager;American;ROLLING ROCK
8954031104;ST PAULI GIRL BEER N;89540;United States;1965;5;3.03;Lager;Helles;ST PAULI GIRL
8066095935;ST PAULI GIRL BEER N;80660;United States;1965;5;3.03;Lager;Helles;ST PAULI GIRL
8066094433;ST PAULI GIRL BIG BT;80660;United States;1965;5;3.03;Lager;Helles;ST PAULI GIRL
8066095945;ST PAULI GIRL DK BEE;80660;United States;1965;4.8;3.03;Lager;Helles;ST PAULI GIRL DARK
8954031108;ST PAULI GIRL DK BEE;89540;United States;1965;4.8;3.03;Lager;Helles;ST PAULI GIRL DARK
8066095937;ST PAULI GIRL LAGER;80660;United States;1965;5;3.03;Lager;Helles;ST PAULI GIRL
8982690002;TECATE / 4 WRAPPED 6;89826;Mexico;1944;4.5;2.82;Lager;American;TECATE
8920000826;TECATE BEER;89200;Mexico;1944;4.5;2.82;Lager;American;TECATE
8928600008;TECATE BEER;89286;Mexico;1944;4.5;2.82;Lager;American;TECATE
8982600041;TECATE BEER;89826;Mexico;1944;4.5;2.82;Lager;American;TECATE
8982600009;TECATE BEER CANS;89826;Mexico;1944;4.5;2.82;Lager;American;TECATE
8982690090;TECATE LIGHT CANS;89826;Mexico;1994;3.9;2.59;Lager;American Light;TECATE LIGHT
8982690027;TECATE LIGHT N.R. BT;89826;Mexico;1994;3.9;2.59;Lager;American Light;TECATE LIGHT
8982650001;TECATE N.R. BTLS;89826;Mexico;1944;4.5;2.82;Lager;American;TECATE
